Names,Meanings,Sentences,Tags,Level,Collocations,Synonyms,Pronunciations,Name
faze,狼狽させる、怯ませる,She did not seem to be fazed at all.,"感情・思考, 英検",4,,,,faze
cursory,大まかな、急ぎの,A cursory exam of his arm did not reveal any serious injuries.,英検,4,,,,cursory
dank,じめじめした、湿っぽくて寒い,The inside of the cave was dark and dank.,"地理・気候, 英検",4,,,,dank
"condescend
condescending
condescension","偉そうな態度を取る
相手を見下すような、尊大な
相手を見下す態度",Some doctors had a condescending attitude toward their patients.,"性格・態度, 英検",4,,,,condescend
connive,共謀する、（悪事などを）見逃す、黙認する,They connived with some officials to steal public money.,"社会・国家, 英検",4,,,,connive
adjudicate,裁く,An independent body adjudicated the dispute between the supermarket and the suppliers. 独立の機関がスーパーと納入業者の間の争いを決着させた,"社会・国家, 英検",4,,,,adjudicate
inanimate,生命のない、無生物の,The octopus can disguise itself as inanimate objects.,"生物・動物, 英検",4,,,,inanimate
trickle,少しずつ流れる、滴り落ちる、滴、したたり,Blood tricked down his face as a result of the injury to his head.,英検,4,,,,trickle
"allegory
allegoric","寓話、寓話的作品
寓話的な",This story can be read as a religious allegory.,英検,4,,,,allegory
predilection,強い好み、偏愛,She admitted to having a predilection for romance novels.,"感情・思考, 英検",4,,,,predilection
flippant,不真面目な、ふざけた,The audience was offended by his flippant remark.,"優劣・是非, 性格・態度, 英検",4,,,,flippant
jeer,あざける、野次る、あざけり、野次,The crowd jeered at the player who injured the start quarterback.,"会話・伝達, 英検",4,,,,jeer
"irk
irked
irksome","うんざりさせる、いらいらさせる
いらいらして
いらだたしい",The city council’s decision irked many people.,"感情・思考, 英検",4,,,,irk
spree,度を過ごすこと、ばか騒ぎ,Her grandmother took her on a shopping spree for her birthday.,"感情・思考, 英検",4,,,,spree
"satire
satirize
satirical","風刺、皮肉
風刺する、皮肉る
風刺的な",The play satirized three of the most corrupt politicians of the time.,"社会・国家, 英検",4,,,,satire
bungle,しくじる,The police bungled the investigation of the crime.,英検,3,,,,bungle
embitter,つらい思いをさせる,The death of their little child greatly embittered them.,"感情・思考, 英検",4,,,,embitter
"penitent
penitence","後悔して、懺悔して
後悔、懺悔",He claimed to be penitent for his mistakes and promised to do better.,"感情・思考, 英検",4,,,,penitent
nibble,少しずつかじる,She nibbled on a piece of bread as she worked.,"動作, 英検",4,,,,nibble
"abhor
abhorrent
abhorrence","嫌悪する、憎悪する
嫌悪感を抱かせるような
嫌悪、憎悪",Any forms of discrimination are abhorrent to us all.,"優劣・是非, 感情・思考, 英検",4,,,,abhor
platitude,陳腐な言葉、決まり文句,His speech was full of platitudes and there was nothing to listen to.,"会話・伝達, 優劣・是非, 英検",4,,,,platitude
"abrade
abrasive
abration","すり減らす、逆撫でする
いらいらさせる、耳障りな
擦り傷",My uncle often offends people with his abrasive manner.,"優劣・是非, 医療・健康, 感情・思考, 英検",4,,,,abrade
crumple (up),しわくちゃにする、しわくちゃになる,She crumpled up the paper and threw it in the trash,"カタカナ・象徴語, 動作, 英検",4,,,,crumple
capricious,気まぐれな、移り気な、変わりやすい、不安定な,"Due to his mother’s capricious moods, he never knows how she will react.","感情・思考, 英検",4,,,,capricious
trepidation,（これから起こる出来事についての）不安、恐れ,Investors are watching the market with great trepidation.,"感情・思考, 英検",4,,,,trepidation
"percolate
percolation","浸透する、広まる、しみ通る、漏れる、ろ過される
透過、ろ過",The ideas began to percolate in his mind as he continued to consider the problem.,"感情・思考, 物理・化学, 英検",4,,,,percolate
"chasten
chastened","恥ずかしい思いをさせる
反省した、罰せられた",He was chastened by the criticism from his boss regarding his performance.,"感情・思考, 英検",4,,,ˈtʃeɪsn,chasten
"aberrant
aberration","常軌を逸した
逸脱、異常",Using such words is an aberration for him.,"優劣・是非, 英検",4,,,,aberrant
"impertinent
impertinence","生意気な、無礼な
生意気、無礼","He asked her age, her weight, and other impertinent questions.","優劣・是非, 英検",4,,,,impertinent
topple,倒す、ぐらつかせる、倒れる、ぐらつく、転覆させる,Experts say that the tower toppled because its base was not built properly.,"動作, 英検",4,,,,topple
maim,重傷を負わせる,"The soldier was maimed in the explosion, but at least he survived.","医療・健康, 英検",4,,,,maim
"incumbent
incumbency","現職の、現職者、在任者
在職、職務",The incumbent champion will defend his title in tomorrow’s boxing match.,"ビジネス・経済, 人・職業, 時間・頻度, 英検",4,,,,incumbent
"dissonant
dissonance","不一致の、不協和音の
不一致、不調和、不協和音",There is often dissonance between how a person perceives herself and how others perceive her.,"依頼, 数量・論理, 芸術・音楽, 英検",4,,,,dissonant
"beguile
beguiling","巧みに騙す、魅了する
魅力的な",They were beguiled into investing their savings into the risky business.,"優劣・是非, 社会・国家, 英検",4,,,,beguile
prowl,（獲物を求めて、犯罪目的で）うろつく、徘徊する,The cat was prowling around in search of mice.,"動作, 生物・動物, 英検",4,,,,prowl
"malevolent
malevolence","悪意のある
悪意、敵意","In the story of Sleeping Beauty, the malevolent witch casts a spell on the princess.","感情・思考, 英検",4,,,,malevolent
"anoint
anointment","選定する、指定する
聖別",It was anointed as the best Indian restaurant in town.,"宗教・哲学, 英検",4,,,,anoint
heist,強盗、銀行破り,He was charged with a heist of three million dollars in cash.,"人・職業, 社会・国家, 英検",4,,,,heist
drool,よだれ、よだれを垂らす、戯言を言う,The baby’s shirt was wet because he had drooled so much.,"会話・伝達, 医療・健康, 英検",4,,,,drool
"prodigy
prodigious","驚嘆すべきもの、神童
驚嘆すべき、並外れた",The beautiful landscape painting was a prodigious achievement for a twelve-year-old child.,"人・職業, 優劣・是非, 英検",4,,,,prodigy
egregious,ひどい、目に余る,It is surprising that a book with so many egregious errors was published.,"優劣・是非, 英検",4,,,,egregious
rendezvous,待ち合わせ、約束、待ち合わせ場所、待ち合わせして会う,She and the journalist planned a secret rendezvous to discuss the issue.,"カタカナ・象徴語, 英検",4,,,ˈrɑːndɪvuː,rendezvous
"schism
schismatic","分裂、分離
分裂の",This event caused a schism in the local community.,"位置・方向, 社会・国家, 英検",4,,,,schism
"delirious
delirium","精神が錯乱した、非常に興奮した、有頂天の
精神錯乱、せん妄状態",She was delirious and nothing she said made sense.,"感情・思考, 英検",4,,,,delirious
sullen,不機嫌な、押し黙った、うっとぅしい、陰鬱な,She looked sullen during the party.,"優劣・是非, 感情・思考, 英検",4,,,,sullen
pare,皮を剥く、切り詰める、削減する,He pared an apple for me.,"ビジネス・経済, 動作, 英検",4,,,,pare
incriminate,罪を負わせる、有罪にする,You are never required to answer any question that could incriminate yourself.,"社会・国家, 英検",4,,,,incriminate
debonair,（男性が）感じの良い、おしゃれな、粋な,She was approached by a debonair gentleman in a fancy suit.,"優劣・是非, 性格・態度, 英検",4,,,,debonair
"virulent
virulence","悪性の、伝染力の強い、致命的な、悪意に満ちた
悪性、悪意",The virulent disease spread rapidly across the country.,"医療・健康, 感情・思考, 英検",4,,,,virulent
paucity,不足、欠乏、少数、少量,The country has suffered from a paucity of natural resources.,"数量・論理, 英検",4,,,,paucity
"lubricate
lubricant","油を差す
潤滑油",She lubricates the motorcycle chain every three months.,"IT・工学, 英検",4,,,,lubricate
entwine,巻き付ける、絡ませる,A young couple were walking on the street with their arms entwined.,"動作, 英検",4,,,,entwine
"accede
accession","同意する、応じる、受け入れる、譲歩する
同意",The board refused to accede to the union’s demand.,英検,4,,,,accede
"deity
deify
deification","神、女神
神格化する
神格化",The planet was named after an ancient Greek deity.,"宗教・哲学, 英検",4,,,,deity
gnaw,かじる、かじり取る、苦しめる、さいなむ,The power outage was caused by a rat that had gnawed on some wires.,"動作, 感情・思考, 英検",4,,,nɔː,gnaw
"cogitate
cogitation","熟考する、熟慮する
熟考",We may need to cogitate further on this matter.,"感情・思考, 英検",4,,,,cogitate
onrush,突然の発展、突進、突撃,The onrush of technology has brought about many changes in society.,"IT・工学, 動作, 英検",4,,,,onrush
"absurd
absurdity","ばかげた、不合理な
ばかげたこと、不合理、不条理",We could no help laughing at the absurdity of the situation.,"優劣・是非, 英検",4,,,,absurd
rankle,人の心を苦しめる,It still rankles me that they made fun of me.,"感情・思考, 英検",4,,,,rankle
restitution,返却、返還、補償,He was ordered to pay restitution for the damages caused by the fire.,"ビジネス・経済, 英検",4,,,,restitution
encumber,妨げる、足手まといになる,The climbers were encumbered by all of their gear.,"優劣・是非, 英検",4,,,,encumber
extrinsic,外部（から）の、外的な、本質的ではない,Money and praise are examples of extrinsic motivation.,"位置・方向, 優劣・是非, 英検",4,,,,extrinsic
"reticent
reticence","無口な、口が重い
無口","He is reticent about discussing his past, but no one knows why.","会話・伝達, 性格・態度, 英検",4,,,,reticent
"billow
billowy","（カーテンや帆が）風で膨らむ、大波
大波の立つ",The curtains billowed in the breeze.,"位置・方向, 英検",4,,,,billow
"perturb
perturbation","不安にする、動揺させる
動揺、狼狽",He was perturbed by his unfamiliar surroundings.,"感情・思考, 英検",4,,,,perturb
"strident
stridency","キーキー言う、耳障りな
耳障りなこと",The suddenly strident tone of her voice startled him.,"カタカナ・象徴語, 優劣・是非, 英検",4,,,,strident
scrounge,せびる、ねだる,He often scrounges money from his parents and friends.,英検,4,,,,scrounge
"felicity
felicitous","幸運、至福
幸運な",She appeared to be in state of complete felicity.,"優劣・是非, 感情・思考, 英検",4,,,,felicity
pernicious,悪影響を及ぼす、非常に有害な,"They are blaming the TV program, saying it has a pernicious influence on children.","優劣・是非, 英検",4,,,,pernicious
"erudite
erudition","博識な、博学な
博識、博学",Isaac Newton is considered one of the most erudite scholars in the history of science.,"性格・態度, 教育・学校, 英検",4,,,,erudite
"bombast
bombastic","大言壮語
大げさな、大言壮語する",The candidate delivered a bombastic speech about how he would fix the economy.,"会話・伝達, 英検",4,,,,bombast
"docile
docility","従順な、扱いやすい
従順さ、おとなしさ",The horse looks very docile.,"性格・態度, 生物・動物, 英検",4,,,,docile
"annul
annulment","無効にする
無効（宣告）、取り消し",The team announced the annulment of its contract with the foreign player.,"社会・国家, 英検",4,,,,annul
vehement,（感情や主張が）激しい、強烈な,She spoke with vehement passion about the need for cheaper healthcare services.,英検,4,,,,vehement
ludicrous,滑稽な、馬鹿げた,"He made a ludicrous suggestion during the meeting, and everyone laughed.","優劣・是非, 英検",4,,,,ludicrous
alacrity / with alacrity,機敏さ、乗り気 / 即座に、迅速に,He accepted our offer with alacrity.,"時間・頻度, 英検",4,,,,alacrity
sordid,下劣な、浅ましい、不潔な、むさくるしい,The sordid affair was kept secret for a long time.,"優劣・是非, 英検",4,,,,sordid
edify,啓発する、教化する,The book edifies readers with its unique presentation of Buddhist concepts.,"宗教・哲学, 感情・思考, 英検",4,,,,edify
trudge,とぼとぼ歩く、重い足取りで歩く,"She trudged through the snow, wishing that she were wearing waterproof boots.","カタカナ・象徴語, 動作, 英検",4,,,,trudge
chide,叱る、たしなめる,The teacher chided students for their lack of effort.,"会話・伝達, 英検",4,,,,chide
stampede,一斉に逃げる、一斉に逃げること,Herds of buffalo are stampeding across the plains.,英検,4,,,,stampede
apparition,亡霊、幽霊,The child claimed that a ghostly apparition appeared outside of his window.,英検,4,,,,apparition
flinch,ひるむ、たじろぐ,She flinched at the sound of the door slamming.,"感情・思考, 英検",4,,,,flinch
censure,"非難、酷評
非難する、酷評する",The country faces international censure for its human rights violations.,"会話・伝達, 社会・国家, 英検",4,,,,censure
scruffy,薄汚い、みすぼらしい,The scruffy dog looked completely different after it got cleaned up.,"性格・態度, 英検",4,,,,scruffy
"gratify
gratification","喜ばせる、満足させる
喜び、満足",I was gratified to hear that he agreed with me.,"感情・思考, 英検",4,,,,gratify
tether,"つなぐ
ロープ、鎖",She tethered her horse to a pole.,英検,4,,,,tether
reverie,空想、夢想,The sound startled her out of her reverie.,"感情・思考, 英検",4,,,,reverie
"abstain
abstinence
abstemious","慎む、自制する
節制、自制
節制した、慎ましい",The campaign aims to promote abstinence from alcohol during pregnancy.,"性格・態度, 英検",4,,,,abstain
"tinge
tinged
a tinge of ","色合い
 〜気味の
〜じみたところ",The sky had an orange tinge to it. 空はオレンジ色を帯びていた,英検,4,,,,tinge
"acclimate
acclimation","慣れる、順応する、慣れさせる
順応",It took her a couple of days to acclimate to the high altitude of Cusco.,英検,4,,,,acclimate
extraneous,非本質的な、（本質に）無関係の,If we eliminate these extraneous steps we can complete the process much faster.,"優劣・是非, 英検",4,,,,extraneous
"periphery
peripheral","周囲、外縁
周囲の、周辺の、些末な",A temporary fence was created around the periphery of the property.,"位置・方向, 優劣・是非, 英検",4,,,,periphery
dissertation,論文、博士論文,She completed her doctoral dissertation on environmental issues.,"教育・学校, 英検",4,,,,dissertation
"remunerate
remuneration
remunerative","報酬を与える
報酬、謝礼
報酬の多い",He has not received remuneration for his work yet.,"ビジネス・経済, 英検",4,,,,remunerate
decree,命じる、布告する、法令、布告、判決,The local government decreed that smoking be banned in public places.,"会話・伝達, 社会・国家, 英検",4,,,,decree
bellow,怒鳴る、叫ぶ,He bellowed across the room so she could hear him.,"会話・伝達, 感情・思考, 英検",4,,,,bellow
"incongruous
incongruously
incongruity","場にそぐわない、調和しない
不調和
不釣り合いに",The new building apppeared incongruous with the surrounding environment.,"優劣・是非, 数量・論理, 英検",4,,,,incongruous
ruffle,かき乱す、苛立たせる、（髪の毛を）くしゃくしゃにする、（羽などを）逆立てる,The woman was obviously ruffed by the reporter’s difficult questions.,"カタカナ・象徴語, 感情・思考, 生物・動物, 英検",4,,,,ruffle
"luminous
luminosity","光を発する、輝く
光輝",The wolf’s luminous red eyes are visible in the dark background of the drawing.,英検,4,,,,luminous
"truculent
truculence","攻撃的な、好戦的な、残忍な
どう猛、残忍",He is always truculent and often gets into a quarrel with someone.,英検,4,,,,truculent
amity,友好、親善,The two countries signed the treaty of amity and commerce.,"社会・国家, 英検",4,,,,amity
truncate,切り詰める、先端を切って短くする,Those interviews were published in truncated form. それらのインタビューは省略された形で出版された,英検,4,,,,truncate
bucolic,田園的な、田舎の,The bucolic cottage was featured in a magazine about life in the countryside.,"地理・気候, 英検",4,,,,bucolic
"felon
felony
felonious","凶悪犯
凶悪犯罪、重罪
重罪の、凶悪な","Felonies, such as kidnapping or fraud, have more serious prison sentences.","人・職業, 社会・国家, 英検",4,,,,falony
configuration,配置、配列,"Seating configurations vary by aircraft and airline.
Please check the configuration of your printer before printing the document.","IT・工学, 位置・方向, 英検",4,,,,configuration
scoff,嘲笑う,"People scoffed at his idea for the invention, but he built it anyway.",英検,4,,,,scoff
"distend
distension","膨らむ、膨張する、膨張させる
膨張、腫れ",A starving person’s stomach may distend due to a lack of protein.,"物理・化学, 英検",4,,,,distend
terse,ぶっきらぼうな、素っ気ない,"Based on his terse response, it was clear that he did not want to be disturbed.","性格・態度, 英検",4,,,,terse
"extrapolate
extrapolation","推定する
推定",We can extrapolate the lifetime value of a customer from this data.,英検,4,,,,extrapolate
mangle,ひどく傷つける、ずたずたにする、台無しにする,"Although his legs were mangled in the accident, he was able to walk again.","優劣・是非, 医療・健康, 英検",4,,,,mangle
languid,元気がない、気だるい,"The medication makes her languid, so she has been sleeping a lot.","医療・健康, 英検",4,,,,languid
"veracious
veracity","正確な、真実の
正直さ、正確さ、真実性",The police are working to confirm the veracity of the witness’s testimony.,"社会・国家, 英検",4,,,,veracious
revile,非難する、あしざまに言う,The country’s law is reviled by many as a violation of human rights.,"会話・伝達, 英検",4,,,,revile
"haphazard
haphazardly","無計画の、でたらめな
無計画に、でたらめに","Books and papers were scattered haphazardly on the professor’s desk. ",英検,4,,,,haphazard
"inept
ineptitude","能力に欠ける、不器用な
能力不足",He is inept at communicating with others.,"性格・態度, 英検",4,,,,inept
"espouse
espousal","支持する、採用する
支持、採用",The new theory is already being espoused by many respected scientists.,"意見・説明, 英検",4,,,,espouse
"unwitting
unwittingly",無意識の、知らず知らずの,He was an unwitting contributor to the spread of false rumors. 彼女は知らず知らずのうちに、間違った噂を広める片棒を担いでいた,"感情・思考, 英検",4,,,,unwitting
"modulate
modulation",調節する、加減する、（声や音の）調子を変える,She is great at modulating her voice to change the feeling of a song.,英検,4,,,,modulate
precept,原理、原則、指針、教え、教義,Showing respect to parents and elder is one of the main precepts of Confucianism.,"便利, 感情・思考, 英検",4,,,,precept
tycoon,巨頭、大立物,"The media tycoon owns several famous TV stations, magazines, and newspapers.","人・職業, 英検",4,,,,tycoon
onerous,骨の折れる、うんざりする,We still have the onerous task of cleaning up.,"優劣・是非, 英検",4,,,,onerous
conscientious,念入りの、慎重な,He is conscientious about his health and exercises daily.,英検,4,,,,conscientious
upend,逆さまにする、ひっくり返す,She upended her purse and dumped everything out when looking for her keys.,"動作, 性格・態度, 英検",4,,,,upend
"colloquy
colloquial","会話
口語の、日常会話の",There are major differences between colloquial Japanese and formal written language.,"会話・伝達, 英検",,,,,colloquy
spurn,拒絶する、（恋人を）振る,She spurned his advances and made it clear she was not looking for a romantic relationship.,"会話・伝達, 英検",4,,,,spurn
trajectory,弾道、軌道、軌跡、進展,"The missile’s trajectory was changed to avoid hitting a populated area.
My career seemed to be on a downward trajectory.","便利, 物理・化学, 英検",4,,,,trajectory
"persecute
persecution","迫害する、弾圧する
迫害",Religious minorities have been persecuted many times throughout history.,"社会・国家, 英検",4,,,,persecute
"infiltrate
infiltration","潜入する、潜入させる
潜入行為",It was discovered that the agency had been infiltrated by spies.,"社会・国家, 英検",4,,,,infiltrate
nimble,素早い、敏捷な,The nimble dancer floated gracefully across the stage.,英検,4,,,,nimble
stitch / stitch up,縫う、縫い目、編み目 / 縫い合わせる,She had to stitch up the wound using the first aid kit in her backup.,"医療・健康, 英検",4,,,,stitch
"tyranny
tyrannical
tyrannize
tyrant","専制政治、暴政
専制君主の、専制的な
暴政を行う
専制君主",They fought to liberate their country from tyranny.,"社会・国家, 英検",4,,,,tyranny
"invert
inversion","逆にする、ひっくり返す
逆転",Our brain inverts the upside-down image that hits our retinas.,"位置・方向, 動作, 英検",4,,,,invert
"buoyant
buoyancy","上向きの、うきうきした、浮力がある
上昇傾向、楽天的性格、浮力",Real estate prices are rising rapidly in this buoyant economy.,"性格・態度, 数量・論理, 物理・化学, 英検",4,,,bɔɪənt / ˈbuːjənt,buoyant
veto,"（大統領や政府の）拒否権
（法案などに）拒否する",The president may choose to exercise his veto to stop the bill.,"社会・国家, 英検",4,,,,veto
fray,争い、いさかい,Both parties entered the election fray.,"社会・国家, 英検",4,,,,fray
wanton,理不尽な、無茶な、抑えられない,Certain human activities lead to the wanton destruction of the environment.,"程度・確度, 英検",4,,,,wanton
insurrection,暴動、反乱,In the capital city there is an insurrection going on against the government.,"社会・国家, 英検",4,,,,insurrection
"retract
retraction
retractable","撤回する、取り消す、引っ込める
撤回、引っ込めること
引っ込められる、格納式の",The CEO was forced to retract his statement regarding selling the company.,"会話・伝達, 英検",4,,,,retract
"residue
residual","残り、残余
残りの、残留している",A few days later he was still experiencing the residual effects of the surgery.,英検,4,,,,residue
"impeach
impeachment","弾劾する、告発する
弾劾、告発",The politician was impeached for his corrupt conduct.,"会話・伝達, 社会・国家, 英検",4,,,,impeach
exponent,主唱者、主導者,The writer Mary Wollstonecraft was an exponent of feminist literature.,"人・職業, 社会・国家, 英検",4,,,,exponent
embroil,巻き込む,The mayor was embroiled in a scandal involving misuse of public funds.,英検,4,,,,embroil
tilt,傾く、傾ける、傾くこと、傾けること,The dog titled its head to the side when it heard her voice through the phone.,"動作, 英検",4,,,,tilt
smother,抑制する、抑える、覆い尽くす、窒息させる,He often felt smothered by his mother’s relentless affection.,"医療・健康, 感情・思考, 英検",4,,,,smother
"corrode
corrosive
corrosion","腐食させる、腐食する
腐食性の
腐食",The acidic water gradually corroded the pipes until they started leaking.,"物理・化学, 英検",4,,,,corrode
"poach
poacher
poaching","密猟する、密漁する
密猟者
密猟、密漁",People try to poach the rhinos so that they can sell their horns.,"人・職業, 生物・動物, 社会・国家, 英検",4,,,,poach
incense,激怒させる,The announcement of the unexpected fees incensed the airline’s passengers.,"感情・思考, 英検",4,,,,incense
attrition,自然滅、消耗,The company cut about 200 employees through attrition and layoffs.,"数量・論理, 社会・国家, 英検",4,,,,attrition
"incubate
incubation","卵を抱く、孵化させる
抱卵、孵化",He incubated the egg under a heat lamp for a few weeks.,"生物・動物, 英検",4,,,,incubate
pundit,評論家、専門家、有識者,He is a former professional soccer player and sports TV pundit.,"人・職業, 英検",4,,,,pundit
dividend,株式配当,The company pays out dividends quarterly.,"ビジネス・経済, 英検",4,,,,dividend
scour,くまなく調べる、探し回る,She scoured the library for books mentioning the obscure topic.,英検,4,,,,scour
wrangle,言い争う,The two sides have been wrangling over the terms of the contract for days.,"会話・伝達, 英検",4,,,,wrangle
"imminent
imminently
iminence","差し迫った、切迫した
差し迫って
切迫、急迫","The storm was imminent, with dark clouds gathered on the horizon.","位置・方向, 時間・頻度, 英検",4,,,,imminent
supplant,取って代わる,Conventional lamps are being supplanted by LED lighting.,英検,4,,,,supplant
"solicit
solicitation",請い求める、懇請,Volunteers for the organization go door-to-door trying to solicit donations.,"会話・伝達, 英検",4,,,,solicit
surmise,推測する,"Based on the symptoms, we can surmise that the illness is a viral infection.","感情・思考, 英検",4,,,,surmise
"lull
lullaby","寝かしつける、（感情を）鎮める
子守唄",The rocking of the train lulled her to sleep.,"感情・思考, 芸術・音楽, 英検",4,,,,lull
"revert
reversion","戻る
逆戻り","On days when he is tired, he reverts to his old eating habits.","時間・頻度, 英検",3,,,,revert
gadget,装置、機械,The store offers a variety of kitchen gadgets and cookware.,"IT・工学, 英検",4,,,,gadget
onslaught,激しい攻撃、大量,The area continues to face the onslaught of rough weather.,"数量・論理, 英検",4,,,,onslaught
incapacitate,能力を奪う、正常に機能しないようにする,She was incapacitated for the first few days following her stroke.,"医療・健康, 英検",4,,,,incapacitate
vilify,中傷する、けなす,The politician was vilified in the newspapers for stealing public tax money.,"会話・伝達, 英検",4,,,,vilify
"latent
latency","潜んだ、潜在的な
潜在、潜伏","When she started blogging, she uncovered a latent talent for writing.",英検,4,,,,latent
postulate,仮定する,Some scientists have postulated that life may exist on other planes without oxygen or water.,英検,4,,,,postulate
acclaim,称賛、歓呼、称賛する,"Although the film received critical acclaim, it was not very popular overall.","会話・伝達, 英検",4,,,,acclaim
savvy,知識を持った、やり手の,Her savvy business skills helped her to quickly rise through the company.,"性格・態度, 英検",4,,,,savvy
splurge,散財する、ぜいたくする,He decided to splurge on a new suit to wear to the event.,"ビジネス・経済, 英検",4,,,,splurge
tangible,明白な、確実な、触れられる,The most obvious tangible benefit will be increased revenue for the company.,英検,4,,,,tangible
replenish,補充する、補給する、再び満たす,It is important to replenish the fluids you lose from sweating.,英検,4,,,,replenish
amass,集める、蓄える,They amassed enough evidence to support their idea.,英検,4,,,,amass
"depict
depiction","表現する、描写する
描写、叙述","The writer has an unusual talent for depicting vivid scenes in his novels,","会話・伝達, 芸術・音楽, 英検",4,,,,depict
liaison,連絡、連携、連絡係,We can improve liaison between parents and teachers with an email newsletter.,"人・職業, 会話・伝達, 便利, 英検",4,,,,liaison
slash,大幅に削減する、さっと切る、切り裂く、斜線、スラッシュ,The president’s plan to slash taxes was very popular with the people.,"カタカナ・象徴語, ビジネス・経済, 動作, 英検",3,,,,slash
"denounce
denunciation","非難する、責める、告発する、訴える
非難、弾劾","The politician has been criticized for not denouncing the use of violence.
The invasion has drawn strong denunciations from leaders around the globe.","会話・伝達, 社会・国家, 英検",4,,,,denounce
"indict
indictment","起訴する
起訴、告訴、欠陥を示すもの","No one expected Grace to get an indictment for any crime, let alone for theft.","社会・国家, 英検",4,,,,indict
ruse,策略、計略,The promise of a free gift card was a ruse to collect personal information.,英検,4,,,,ruse
"rescind
rescission","撤回する、無効にする
廃止、無効化",The company rescinded the job offer after discovering his dishonesty.,"社会・国家, 英検",4,,,,rescind
"decorum
decorous","礼儀正しい行動、上品さ
礼儀正しい",She always behaves with decorum and modesty.,"性格・態度, 英検",4,,,,decorum
interlude,合間、合間の出来事、幕間、間奏曲,"She left the office for a brief interlude, during which she got a coffee.","時間・頻度, 芸術・音楽, 英検",4,,,,interlude
"subservient
subservience","従属的な、へつらった
追従、へつらい","In ancient Greek society, women were expected to be subservient to their husbands.","性格・態度, 英検",4,,,,subservient
"matrimony
matrimonial","結婚、婚姻
結婚の",They were joined in in matrimony last week.,英検,4,,,,matrimony
intrepid,恐れを知らない、勇敢な,The intrepid explorer traveled deep into the Amazon rainforest.,"性格・態度, 英検",4,,,,intrepid
"prescient
prescience","予知するような、先見の明がある
予知、予見",The economist was prescient about the financial crisis.,"性格・態度, 英検",4,,,,prescient
pilfer,くすねる、ちょろまかす,A coworker accused him of pilfering money from the company.,"社会・国家, 英検",4,,,,pilfer
"concoct
concoction",考え出す、仕組む、でっち上げる、（食べ物を）混ぜて作る,He concocted a story about his car breaking down when he was late for work.,"会話・伝達, 感情・思考, 英検, 食べ物・料理",4,,,,concoct
vacillate,（物・感情が）ぐらつく、揺れる,He vacillated between two choices.,"動作, 感情・思考, 英検",4,,,,vacillate
regale,人を楽しませる,He regaled us with stories of his days as a pilot.,"感情・思考, 英検",4,,,,regale
"quirk
quirky","変わった癖、奇行
一風変わった、癖のある",Everyone has their own unique quirks.,"性格・態度, 英検",4,,,,quirk
"dexterity
dexterous","（手先の）器用さ、利口さ、抜け目のなさ
（手先の）器用な",The athlete handles the ball with impressive dexterity.,"性格・態度, 英検",4,,,,dexterity
premonition,予感、虫の知らせ,The day of the earthquake she had had a premonition that something bad would happen.,"便利, 感情・思考, 英検",4,,,,premonition
"indignant
indignation","憤慨した、怒った
憤慨",Jessica became indignant when she was wrongly blamed for the data entry error.,"感情・思考, 英検",4,,,,indignant
insipid,無味乾燥な、面白くない、味のない、美味しくない,The insipid movie has poor character development and a lack of tension or conflict.,"優劣・是非, 英検, 食べ物・料理",4,,,,insipid
"inaugurate
inaugural
inauguration","就任させる、発足させる、落成式を行う
就任の、落成の
就任、落成式、発足",Thousands attended the ceremony to inaugurate the new president.,"ビジネス・経済, 英検",4,,,,inaugurate
precinct,行政区、選挙区,That is the police station for this precinct.,"地理・気候, 社会・国家, 英検",4,,,,precinct
vanquish,破る、負かす,He quickly vanquished all of his enemies in the video games.,英検,4,,,,vanquish
propel,推進する、前進させる、駆り立てる,The powerful engines propelled the satellite into space.,英検,4,,,,propel
babble,まくしたてる、ガヤガヤと話す、口を滑らす,My father will babble on forever about politics unless you tell him to stop.,"会話・伝達, 英検",4,,,,babble
"piety
pious","敬虔さ、信仰（心）
敬虔な",The priest praised him for his extreme piety.,"宗教・哲学, 性格・態度, 英検",4,,,,piety
"entangle
entanglement","もつれさせる、絡ませる
もつれ",The dolphin became entangled in a fishing net.,英検,4,,,,entangle
caricature,風刺画、風刺的に描く,The caricature of the president was shared widely on social media.,"社会・国家, 芸術・音楽, 英検",4,,,,caricature
charade,見せかけ、嘘の芝居,Everyone is saying their marriage is a charade.,英検,4,,,,charade
pensive,物思いに沈んだ,"When he is feeling pensive, he often writes poetry or goes for long walks.","感情・思考, 英検",4,,,,pensive
tally,記録、勘定、得点、計算する、集計する,The manager keeps a tally of the restaurant’s expenses and revenue.,"スポーツ, ビジネス・経済, 英検",4,,,,tally
"clump
clumpy",群れ、塊、群れをなす、かたまる、凝集させる、どしんどしん歩く,Some kids were throwing clumps of dirt at the wall.,"動作, 英検",4,,,,clump
nebulous,曖昧な、漠然とした,"At first, the plan was pretty nebulous.",英検,4,,,,nebulous
travesty,まがいもの、茶番,The judge’s decision is a travesty of justice.,"優劣・是非, 英検",4,,,,travesty
foment,助長する、扇動する,The government has accused media outlets of helping a party to celebrate.,"会話・伝達, 英検",4,,,,foment
remission,（病気などの）一時的軽減、緩和、免除,"His cancer has gone into remission, so he is holding a party to celebrate.","医療・健康, 英検",4,,,,remission
proviso,但し書き、条件,This article contains several important provisos.,"社会・国家, 英検",4,,,,proviso
